ID,education_level,years_experience,job_title,industry,location,company_size,certifications,age,working_hours,crucial_code,salary
3021,Bachelors,3,Manager,Healthcare,San Francisco,Medium,3,50,56,WZK220,85309.25566
3022,High School,13,Analyst,Healthcare,London,Large,1,22,34,LUF384,93044.05043
3023,Masters,18,Software Engineer,Education,London,Small,4,24,33,DWE743,95672.08683
3024,Bachelors,17,Manager,Education,Bangalore,Small,2,43,34,MSH938,93594.92378
3025,Masters,,,Education,Bangalore,Large,1,50,53,AGS493,92797.09276
3026,Bachelors,16,Analyst,Finance,Bangalore,,2,34,52,,82219.59137
3027,Masters,18,Manager,IT,London,Medium,4,59,39,SAO435,101778.8876
3028,PhD,17,,Education,Bangalore,Large,0,58,41,SDW485,
3029,High School,0,Analyst,Finance,London,Medium,0,39,54,GVW481,55687.06142
3030,Bachelors,0,Data Scientist,Education,Bangalore,Small,0,33,47,HZM394,50169.25689
3031,PhD,7,Analyst,IT,Bangalore,Large,1,28,36,VIC847,72670.63241
3032,,19,Software Engineer,Healthcare,New York,Small,1,41,57,WGS876,82762.1174
3033,High School,3,Manager,IT,New York,Small,2,23,35,WNX595,70160.70999
3034,PhD,8,Data Scientist,IT,San Francisco,Small,3,33,40,GTX862,111944.3871
3035,Masters,3,Data Scientist,IT,London,Medium,1,38,35,UHT815,94988.73155
3036,Masters,7,Analyst,Education,New York,Large,2,54,47,TPP569,68116.53322
3037,High School,3,Software Engineer,Healthcare,New York,Large,4,,54,MYA239,74273.97274
3038,PhD,11,Manager,IT,New York,Medium,4,,58,NHF266,100141.2422
3039,High School,16,Manager,Finance,Bangalore,Large,0,46,59,QRV279,77638.39695
3040,,2,Analyst,IT,New York,Small,0,,54,HEB248,73006.69953
3041,Bachelors,18,Data Scientist,Healthcare,San Francisco,Large,4,55,52,YLH227,114541.7477
3042,Masters,15,Software Engineer,Education,San Francisco,Small,1,32,54,RRL262,105116.1285
3043,High School,7,Software Engineer,Healthcare,New York,Small,3,46,51,YSK214,66105.24647
3044,High School,2,Analyst,IT,Bangalore,Medium,4,34,39,ZSL667,67131.30787
3045,,13,Analyst,IT,London,Medium,4,51,35,NWM010,78256.56862
3046,Masters,14,Manager,Finance,San Francisco,Large,2,47,42,TRI370,112941.4879
3047,Masters,15,Software Engineer,Finance,Bangalore,Small,0,42,58,NNO774,87962.95198
3048,PhD,4,Data Scientist,Finance,London,Large,1,58,38,CXB792,94393.13539
3049,High School,19,Software Engineer,Healthcare,San Francisco,Medium,1,31,,FGB760,90425.44636
3050,Bachelors,4,Analyst,Healthcare,London,Large,1,26,38,NKR196,60309.46039
3051,PhD,0,Manager,Healthcare,San Francisco,Small,1,22,59,IRC962,86667.32911
3052,Masters,11,Analyst,,New York,Medium,0,27,38,BUC089,96873.67682
3053,Bachelors,3,Manager,IT,Bangalore,Medium,1,41,36,BPT014,76149.21752
3054,Masters,11,Data Scientist,Education,Bangalore,Medium,1,25,49,PBA763,102552.3678
3055,Masters,7,Software Engineer,Education,London,Small,1,,,WLO728,77089.21728
3056,Bachelors,,Data Scientist,Healthcare,San Francisco,Large,1,33,52,SMH167,91732.25286
3057,,11,Manager,IT,New York,Small,3,50,44,ORI067,86170.46758
3058,PhD,12,Data Scientist,Education,San Francisco,Large,3,43,,DNJ742,117927.9372
3059,Masters,6,Manager,Healthcare,San Francisco,Medium,3,30,56,GDX256,105671.7168
3060,Bachelors,9,Data Scientist,Healthcare,San Francisco,Medium,2,22,41,JQA235,107389.6613
3061,PhD,9,Analyst,IT,New York,Medium,3,44,46,CYR807,77888.58712
3062,,18,Software Engineer,Education,San Francisco,Medium,3,26,,QEV938,106184.4694
3063,High School,19,Analyst,IT,Bangalore,Small,3,35,57,OPA239,
3064,High School,2,Software Engineer,IT,New York,Small,0,29,33,ZSA832,66492.6465
3065,High School,16,Manager,IT,London,Small,,35,57,CBI114,91260.99248
3066,PhD,1,Analyst,IT,Bangalore,Small,2,22,37,UFE377,73553.59386
3067,High School,15,Analyst,Education,New York,Large,0,30,45,KYP727,90133.0831
3068,PhD,12,Software Engineer,Healthcare,Bangalore,Small,0,58,,EWS444,77770.67419
3069,,19,Data Scientist,IT,San Francisco,Medium,4,29,31,USF281,104079.6476
3070,Bachelors,19,Software Engineer,Healthcare,London,Large,1,37,44,GQX377,79541.88214
3071,High School,6,Software Engineer,Finance,New York,Medium,4,44,36,MGC380,63461.22256
3072,Masters,4,Data Scientist,Education,London,,4,38,58,,93611.94221
3073,High School,11,,Finance,San Francisco,Large,2,26,46,CTU760,85990.39551
3074,Masters,9,Manager,Finance,San Francisco,Large,4,46,41,FDG954,96593.35575
3075,High School,1,Data Scientist,Finance,San Francisco,Small,1,28,32,TAK226,77593.76212
3076,Bachelors,6,Software Engineer,Finance,Bangalore,Small,4,39,55,REJ121,65153.61552
3077,Masters,10,Manager,Finance,London,Medium,0,52,,UBV507,98677.57289
3078,Masters,2,Software Engineer,Finance,London,Small,1,31,41,BLE583,69504.53877
3079,Bachelors,0,Analyst,,London,Small,4,37,51,IYH899,71021.43217
3080,High School,0,Software Engineer,Finance,New York,Small,1,59,52,YYG045,51283.72042
3081,High School,6,Software Engineer,Healthcare,New York,Large,2,32,33,FKT020,55781.64265
3082,High School,5,Manager,Finance,Bangalore,,0,44,30,,81421.38713
3083,Masters,,Data Scientist,Education,New York,,,43,43,,97016.38887
3084,PhD,5,Software Engineer,IT,Bangalore,Medium,2,44,30,BIB990,72989.48494
3085,High School,6,Manager,Finance,Bangalore,Medium,,57,51,OFN647,81848.71858
3086,,19,Software Engineer,Education,London,Large,4,37,40,JIF327,93472.83987
3087,High School,14,Software Engineer,Education,Bangalore,Large,1,26,47,XLE355,74432.80372
3088,Bachelors,,Software Engineer,Finance,Bangalore,Medium,4,53,30,QES711,81840.20104
3089,,11,Analyst,Education,San Francisco,Large,0,28,59,EGX924,96263.90219
3090,High School,11,Software Engineer,Finance,London,Large,1,31,59,RTD099,83731.16953
3091,,2,Analyst,Finance,London,,2,49,34,,61562.0642
3092,Masters,2,Data Scientist,Healthcare,Bangalore,Medium,4,35,34,GLH451,92726.24337
3093,Bachelors,,Manager,Education,Bangalore,Small,0,53,36,TKL944,67340.43743
3094,Masters,17,Analyst,IT,New York,Medium,2,33,46,BWG964,84551.64041
3095,Bachelors,6,Data Scientist,Finance,San Francisco,Medium,1,22,56,AXN162,83793.72165
3096,PhD,5,Analyst,,San Francisco,Medium,2,42,49,JZE940,105931.8867
3097,Bachelors,4,Software Engineer,Education,London,Small,4,33,53,AIV354,64780.40961
3098,High School,3,Manager,,San Francisco,Medium,2,50,43,OQY618,78309.0186
3099,High School,13,Data Scientist,Finance,New York,Medium,1,54,47,YGA789,83766.43571
3100,High School,12,Analyst,Healthcare,New York,Large,4,57,31,RXH122,77818.73385
3101,Masters,1,Data Scientist,IT,London,Medium,0,31,53,EYK117,89076.30368
3102,Masters,16,Analyst,Healthcare,San Francisco,Small,4,31,34,HKY425,
3103,Bachelors,12,Software Engineer,Education,San Francisco,Large,3,27,41,LGZ345,96359.07427
3104,High School,0,Manager,Finance,Bangalore,Large,0,58,38,WEK703,64894.18552
3105,Bachelors,18,,Finance,Bangalore,Medium,3,54,59,NCA999,90693.60665
3106,High School,6,Manager,Finance,Bangalore,Medium,3,27,,BMO436,71657.85031
3107,Bachelors,11,Data Scientist,Education,Bangalore,Medium,1,23,46,BDU223,92145.35511
3108,PhD,8,Manager,IT,London,Medium,3,48,45,OSE295,101385.4889
3109,Bachelors,14,Data Scientist,Education,New York,Large,2,23,37,ASS264,88700.93254
3110,,0,Manager,Healthcare,Bangalore,Medium,3,28,42,LPC967,96487.3182
3111,PhD,13,,IT,Bangalore,Small,,48,39,SFD936,87585.16966
3112,,13,Data Scientist,Education,San Francisco,Small,3,33,59,DYM524,104528.581
3113,,16,Analyst,Finance,San Francisco,Large,1,42,36,QGH462,91230.77432
3114,PhD,2,Data Scientist,IT,New York,Medium,0,57,32,LTA457,90054.54937
3115,PhD,2,Data Scientist,Education,London,Medium,3,59,54,OQY490,93540.29038
3116,High School,13,Software Engineer,Education,Bangalore,Small,3,29,40,WKO144,82499.9142
3117,Bachelors,6,Software Engineer,IT,New York,Large,0,36,33,IKY954,52311.86826
3118,Masters,11,Data Scientist,Healthcare,San Francisco,Medium,4,30,33,GIR918,112258.5347
3119,,,Data Scientist,Education,New York,Large,1,39,43,TWE774,67013.87085
3120,PhD,14,Software Engineer,Healthcare,London,Large,2,25,35,VCJ752,103208.3892
3121,Masters,12,Data Scientist,IT,San Francisco,Large,0,51,51,YRF154,100450.8882
3122,,,Data Scientist,Finance,San Francisco,Medium,1,24,38,HNK076,117292.7742
3123,PhD,13,Manager,Finance,San Francisco,Large,3,,56,GWJ997,114478.0834
3124,Masters,19,Manager,IT,Bangalore,Small,0,39,47,ECJ280,89699.65352
3125,High School,17,Manager,Healthcare,London,Large,1,22,,OOI394,89526.75237
3126,High School,13,Software Engineer,Education,London,Large,3,46,59,ROO011,75169.10233
3127,Masters,7,Manager,Finance,Bangalore,Large,0,31,47,XOZ038,80666.77065
3128,,10,Manager,Education,San Francisco,Large,4,34,33,PNU011,94189.00954
3129,PhD,,Manager,IT,Bangalore,Large,3,23,51,YPZ164,98295.07178
3130,,10,Software Engineer,Education,San Francisco,Large,3,38,39,LAR627,86720.17122
3131,PhD,11,Software Engineer,Finance,London,Medium,3,55,42,MIC677,100484.3622
3132,Masters,16,Software Engineer,IT,New York,,1,27,51,,84440.57282
3133,Bachelors,2,Software Engineer,Finance,Bangalore,Small,1,32,53,KMA579,50837.78431
3134,Bachelors,5,Manager,Healthcare,Bangalore,Large,2,,54,IQI911,71476.6757
3135,Bachelors,18,Data Scientist,Healthcare,New York,Small,,34,37,OHY613,98070.37264
3136,High School,12,Manager,Healthcare,San Francisco,Large,2,28,52,YRU319,101324.0589
3137,Masters,7,,Healthcare,Bangalore,Small,2,23,43,QBL601,86174.19569
3138,,1,Analyst,IT,London,Large,4,53,47,QFH348,89553.47321
3139,,13,Software Engineer,Education,London,Small,3,,31,OSO075,90718.98555
3140,,14,Software Engineer,,London,Medium,4,40,46,KIA465,86400.54586
3141,High School,6,Analyst,Education,London,Large,,47,50,WAF073,76719.43555
3142,Bachelors,4,Manager,Finance,San Francisco,Small,1,33,39,WTU339,78842.61104
3143,,3,Data Scientist,IT,London,,1,32,59,,91528.57615
3144,High School,6,Data Scientist,IT,San Francisco,,1,48,30,,81236.79186
3145,,15,Analyst,Healthcare,San Francisco,,3,51,58,,95754.51022
3146,Masters,12,Manager,Healthcare,Bangalore,Medium,,23,47,DBC837,82955.60228
3147,Bachelors,6,Manager,IT,New York,Medium,1,46,55,VEF485,70118.7091
3148,PhD,17,Manager,Finance,San Francisco,Small,0,55,31,UKW398,117182.699
3149,PhD,14,Analyst,Finance,New York,Small,1,27,48,MDQ350,85758.17094
3150,PhD,11,Data Scientist,Education,San Francisco,Large,1,32,57,BFX344,116866.9735
3151,Masters,8,Software Engineer,Education,Bangalore,Medium,0,47,45,JKS332,
3152,PhD,12,Manager,Healthcare,Bangalore,Small,1,56,33,UHN700,97588.3644
3153,PhD,5,Manager,Education,San Francisco,Medium,2,45,31,UKU851,103258.4266
3154,Masters,14,Analyst,Finance,San Francisco,Large,0,47,34,ESH845,98082.21541
3155,High School,6,Manager,Education,San Francisco,Medium,2,52,59,WDF326,81096.38838
3156,High School,1,Analyst,Finance,San Francisco,Medium,2,58,38,UMX573,76209.5111
3157,High School,7,Data Scientist,Education,San Francisco,Medium,1,47,52,ASF603,84120.1884
3158,,7,Analyst,Healthcare,Bangalore,Large,2,56,59,ZAB785,64463.88771
3159,Masters,12,Software Engineer,Healthcare,Bangalore,Large,3,54,33,EEK915,82046.34873
3160,Bachelors,17,Software Engineer,Healthcare,San Francisco,Small,2,47,50,IDJ074,88355.20799
3161,Masters,5,Data Scientist,Healthcare,Bangalore,Large,2,34,34,LCJ839,86673.06643
3162,Masters,7,Data Scientist,Education,San Francisco,,0,38,53,,94146.17596
3163,Masters,7,Data Scientist,Finance,Bangalore,Large,4,28,42,ZTF724,87038.12685
3164,PhD,7,Manager,Finance,San Francisco,Large,,44,48,LCK491,95173.00946
3165,High School,0,Analyst,Education,San Francisco,Medium,1,41,54,CME069,60506.23768
3166,,18,Manager,Education,San Francisco,Small,3,53,33,UET117,124236.3829
3167,High School,5,Software Engineer,IT,San Francisco,Medium,1,31,46,APP247,
3168,Masters,1,Manager,,Bangalore,Large,1,51,52,IPI936,69997.54885
3169,Masters,18,Analyst,,San Francisco,Small,3,59,59,KBM527,113565.8651
3170,Bachelors,3,Analyst,Finance,London,Large,1,47,58,HUW433,67480.11139
3171,High School,5,Manager,IT,London,Small,4,46,37,EPU690,75547.87776
3172,Bachelors,8,Analyst,Finance,New York,Small,3,57,30,CLP539,69599.26169
3173,,14,Analyst,IT,Bangalore,Large,3,48,38,TNJ741,84021.56961
3174,Masters,8,Analyst,Healthcare,New York,Medium,1,44,54,FYO758,65500.31314
3175,High School,10,Manager,Finance,San Francisco,Medium,3,52,52,GWQ306,97839.59414
3176,PhD,16,Manager,Finance,Bangalore,Small,0,58,46,CMX355,91718.68308
3177,Bachelors,13,Data Scientist,Healthcare,Bangalore,Large,0,58,54,PRY607,84234.74931
3178,High School,3,Analyst,Education,San Francisco,Large,4,50,44,IVT527,85948.74789
3179,Bachelors,,Data Scientist,Healthcare,London,Large,2,25,45,LMJ634,90600.32627
3180,Bachelors,14,Manager,Healthcare,New York,,,40,43,,76080.74641
3181,Bachelors,11,Analyst,Healthcare,New York,Small,3,47,59,EKE351,75229.84884
3182,Masters,4,Software Engineer,Healthcare,San Francisco,Medium,0,29,56,YFA987,78988.93559
3183,Masters,5,Manager,IT,San Francisco,Large,4,41,51,SSM249,93901.18237
3184,PhD,4,Data Scientist,Education,Bangalore,Large,3,51,44,KZO356,86422.30828
3185,Masters,7,Software Engineer,Healthcare,London,Medium,0,45,35,DSB017,81001.76461
3186,PhD,0,Data Scientist,IT,New York,Small,2,50,55,TPS936,90520.60222
3187,Masters,19,Manager,Education,London,Large,1,55,49,IAD524,107359.7527
3188,High School,10,Manager,Healthcare,London,Small,3,33,,LZK412,94484.35141
3189,High School,7,Software Engineer,Education,Bangalore,Small,0,59,40,AUT995,65875.34045
3190,Bachelors,17,Data Scientist,Finance,London,Large,3,31,46,XSC269,103049.3194
3191,Bachelors,3,Software Engineer,Finance,London,Medium,3,37,46,XIS066,61213.56575
3192,Bachelors,12,Manager,Education,Bangalore,Medium,4,32,38,ESD753,90679.51407
3193,High School,12,Data Scientist,IT,New York,Small,2,45,57,WBV028,82047.8652
3194,High School,13,Data Scientist,Finance,New York,Small,3,38,59,YMC486,82745.36786
3195,Bachelors,2,Software Engineer,,San Francisco,Small,0,30,54,QIY552,72142.11986
3196,High School,,Manager,Education,London,Small,2,50,45,CJW589,78469.79235
3197,Masters,8,Analyst,Finance,San Francisco,Small,1,33,57,OQS171,87395.53124
3198,PhD,5,Data Scientist,Healthcare,San Francisco,Large,2,47,46,QEW880,98518.67243
3199,Masters,0,Software Engineer,Healthcare,London,Small,1,59,55,QLZ753,77546.72401
3200,High School,9,,Education,Bangalore,Large,1,41,46,XIE301,94822.19576
3201,PhD,1,Analyst,Healthcare,New York,Medium,,,56,WOA370,63686.7696
3202,High School,2,Software Engineer,Education,London,Medium,4,22,36,LAN375,57654.62435
3203,Masters,6,Manager,IT,London,Medium,3,40,35,TMT361,85482.01501
3204,High School,15,Data Scientist,Education,San Francisco,Small,2,28,47,EZL339,110076.3158
3205,Bachelors,5,Analyst,Education,London,Medium,1,,30,LHG509,69179.04594
3206,Masters,19,Software Engineer,IT,London,Large,1,55,46,VLY125,106332.8589
3207,Bachelors,11,Data Scientist,Finance,Bangalore,Large,1,49,51,WPB577,71153.82684
3208,High School,0,Analyst,IT,Bangalore,Small,0,,31,TKZ931,68719.6792
3209,Bachelors,2,Manager,Education,Bangalore,Medium,0,44,38,ATE865,62360.57825
3210,Masters,4,Software Engineer,Finance,Bangalore,Small,3,44,40,ASF941,67523.76416
3211,High School,3,Manager,IT,Bangalore,Medium,3,,40,NZM633,62622.20931
3212,High School,6,Data Scientist,IT,San Francisco,Medium,3,38,49,QRK988,89808.87946
3213,,10,Data Scientist,Healthcare,New York,Large,2,52,46,ROG456,78121.14845
3214,PhD,2,Data Scientist,Healthcare,New York,Small,4,24,48,ECQ311,89272.6369
3215,High School,14,Analyst,IT,London,Medium,3,52,50,XQT400,79568.62524
3216,Bachelors,12,Analyst,Healthcare,London,Medium,1,56,43,KQJ613,74837.05699
3217,High School,8,Analyst,Finance,New York,Small,0,44,46,HGD019,60872.32546
3218,Masters,8,Software Engineer,Education,London,Large,0,58,44,WYR294,75481.88506
3219,Bachelors,12,Analyst,Healthcare,New York,Small,2,47,41,UJV514,76698.69977
3220,Bachelors,6,Analyst,,London,Medium,3,42,41,GOR094,70506.80766
3221,High School,19,Manager,IT,Bangalore,Small,4,33,50,YZO236,97976.50888
3222,Bachelors,17,Manager,IT,Bangalore,Large,,28,33,BJY943,120299.1986
3223,PhD,11,Manager,Finance,Bangalore,,1,36,43,,91529.94142
3224,Masters,17,Analyst,Healthcare,Bangalore,Large,3,43,56,EQG236,93895.9125
3225,Masters,2,Manager,IT,San Francisco,Small,0,29,54,XPH080,91809.66206
3226,PhD,10,Software Engineer,Healthcare,San Francisco,Small,1,,48,ZGZ075,102021.9722
3227,PhD,13,Manager,Healthcare,New York,Large,3,25,41,KHY260,99361.87666
3228,High School,14,Manager,IT,Bangalore,Medium,3,35,47,LMY473,88844.56496
3229,Bachelors,16,Software Engineer,Finance,London,Large,2,34,47,GDU181,80294.30056
3230,Bachelors,11,Analyst,Healthcare,Bangalore,Medium,2,39,58,UGW496,79732.46378
3231,PhD,5,Data Scientist,IT,London,Small,2,53,43,YPN620,99931.89892
3232,,17,Analyst,IT,London,Medium,0,57,30,JRK344,89422.428
3233,Bachelors,6,Analyst,Healthcare,San Francisco,Medium,3,45,46,RNA101,78053.26928
3234,Masters,12,Data Scientist,Finance,London,Medium,2,43,58,MZV174,97726.82178
3235,PhD,13,Software Engineer,Finance,London,,4,36,58,,91402.2917
3236,PhD,9,Data Scientist,Education,New York,Large,2,58,46,LDB300,94857.65204
3237,PhD,7,Data Scientist,Healthcare,London,Medium,2,52,,YPK195,102259.0975
3238,Masters,8,Manager,Finance,San Francisco,Large,0,33,57,YAZ255,91870.44839
3239,Bachelors,12,Analyst,Finance,San Francisco,Medium,3,26,37,NZX153,84020.95805
3240,Bachelors,7,Analyst,Education,London,Large,2,38,58,MQV637,80922.13632
3241,Masters,18,Analyst,Healthcare,San Francisco,Large,4,51,,FOC919,113810.9433
3242,High School,11,Manager,Education,London,Medium,2,58,38,MTY045,79629.74473
3243,PhD,1,Data Scientist,Healthcare,Bangalore,Medium,4,40,54,VHG733,78981.83477
3244,PhD,7,Analyst,Education,San Francisco,Medium,1,40,38,OKJ168,108431.7808
3245,High School,,Data Scientist,Finance,Bangalore,Small,4,33,50,FRK975,87521.76552
3246,Bachelors,5,Software Engineer,Education,London,Medium,3,27,47,HDF770,68487.40443
3247,Masters,15,Data Scientist,Healthcare,San Francisco,Large,,42,,FXW216,103220.2521
3248,Bachelors,6,Data Scientist,Finance,Bangalore,Small,1,39,53,DKB086,74625.64163
3249,PhD,9,Analyst,Finance,San Francisco,Medium,0,54,56,QPP258,91985.59808
3250,Masters,15,Analyst,IT,New York,Medium,0,46,36,KEP300,
3251,PhD,12,Analyst,Education,Bangalore,Medium,2,43,44,GYD266,92945.15055
3252,PhD,15,Data Scientist,Education,New York,Large,1,,36,TNN501,99566.48774
3253,Bachelors,8,Manager,Healthcare,London,Large,3,34,35,CHP880,90872.95458
3254,PhD,5,Analyst,Healthcare,San Francisco,Medium,0,40,36,ITL926,108064.8175
3255,High School,18,Analyst,Education,New York,Medium,0,36,48,IBS299,79131.41193
3256,High School,,Data Scientist,Education,New York,Small,4,49,,HPS150,91625.29586
3257,Masters,3,Software Engineer,Healthcare,London,Medium,1,31,40,TSA705,75690.84249
3258,Masters,8,Software Engineer,Education,San Francisco,Large,1,29,31,ATF824,86992.25623
3259,High School,7,,Finance,San Francisco,Large,2,27,57,OCZ964,90388.99703
3260,Bachelors,13,Analyst,Healthcare,Bangalore,Large,2,41,41,UXE052,68306.43916
3261,Masters,0,Analyst,Education,San Francisco,Small,3,38,31,YDT981,83464.76186
3262,Masters,9,Data Scientist,Finance,London,Large,0,22,42,EQQ128,
3263,Bachelors,6,Manager,Finance,London,Small,2,55,37,ZQP319,77311.50504
3264,PhD,,Analyst,Education,Bangalore,Large,2,40,31,XWG733,70242.06596
3265,High School,4,Data Scientist,Healthcare,Bangalore,Medium,2,42,51,NBM131,76807.03204
3266,PhD,11,Manager,,Bangalore,Medium,2,26,50,WHY929,93534.6235
3267,High School,18,,Education,New York,Small,4,53,52,JDG651,84881.98969
3268,High School,6,Data Scientist,Finance,New York,Medium,,53,52,QTY068,77392.13343
3269,Masters,6,Software Engineer,IT,Bangalore,Small,1,43,58,FYV102,72469.28034
3270,High School,6,Data Scientist,Education,Bangalore,Medium,1,31,50,OUN378,65073.07415
3271,,13,Analyst,Healthcare,San Francisco,Medium,4,52,53,COF348,99976.16959
3272,Masters,10,Analyst,Finance,San Francisco,Medium,1,38,45,BFF609,88652.78043
3273,PhD,6,Manager,Education,London,Small,1,34,30,ORS338,109868.1384
3274,High School,0,Manager,Healthcare,Bangalore,Large,3,58,44,KVY073,58734.10943
3275,Bachelors,1,Software Engineer,Finance,Bangalore,Medium,0,40,58,GUC078,83135.15474
3276,High School,4,Analyst,Education,New York,Large,0,52,32,GWJ900,56158.49502
3277,PhD,11,Data Scientist,Healthcare,New York,Small,4,57,43,UHX481,94662.18767
3278,Masters,3,Software Engineer,IT,New York,Medium,4,53,31,EJW153,61626.11592
3279,Masters,17,,Education,London,,3,47,38,,95786.39464
3280,PhD,8,Software Engineer,Education,Bangalore,Large,0,24,38,TMV292,82088.0354
3281,High School,8,Manager,IT,Bangalore,Small,1,33,45,RXR160,97515.88199
3282,PhD,13,Manager,Finance,San Francisco,Medium,1,46,52,EJU900,102121.2256
3283,,10,Analyst,Finance,London,Medium,2,36,52,EHG162,92961.2072
3284,PhD,7,Manager,,New York,Large,4,29,57,IKW697,87288.66018
3285,High School,9,Analyst,IT,New York,Large,1,47,36,OVP604,68553.24753
3286,High School,3,Analyst,Healthcare,San Francisco,Small,1,46,30,GVH227,64652.37209
3287,Masters,18,Software Engineer,Finance,Bangalore,Large,3,51,58,GOT876,101149.5184
3288,Masters,5,Software Engineer,Healthcare,Bangalore,Large,4,22,45,MLI729,71578.52475
3289,PhD,14,Manager,,Bangalore,Medium,0,45,42,TLQ288,92298.47054
3290,Masters,15,Software Engineer,Healthcare,New York,Small,4,52,34,QAR435,84949.829
3291,Bachelors,12,Manager,IT,Bangalore,Large,2,44,43,UDP123,83300.34934
3292,Bachelors,16,,IT,San Francisco,Small,0,58,44,JSJ404,106661.8669
3293,Bachelors,13,Analyst,IT,San Francisco,Small,0,36,52,OJI402,86212.32041
3294,PhD,13,Software Engineer,Healthcare,New York,Large,3,56,58,ANQ438,89098.09514
3295,PhD,18,Software Engineer,Education,New York,Small,1,46,45,QSX527,105192.8214
3296,Bachelors,18,Software Engineer,IT,London,Large,2,54,59,UKW724,91097.18252
3297,High School,16,Data Scientist,Healthcare,Bangalore,Large,1,29,,VLH548,92822.9038
3298,Masters,1,Manager,Finance,San Francisco,Small,3,34,43,FUD274,
3299,Masters,16,Manager,Healthcare,Bangalore,Medium,0,53,41,CGX496,103695.2251
3300,Masters,16,Data Scientist,Finance,Bangalore,Medium,1,52,39,PSO983,96939.95055
3301,Masters,6,,IT,Bangalore,Small,3,34,55,IKI368,82264.95933
3302,High School,17,Manager,IT,London,Small,0,25,41,VOT352,93795.18326
3303,PhD,17,Manager,IT,London,,,57,47,,108880.363
3304,PhD,3,Manager,Healthcare,New York,Large,,37,56,AZT903,96904.45649
3305,PhD,17,Analyst,IT,London,Large,3,56,38,PGV991,97779.44624
3306,PhD,15,Software Engineer,Healthcare,Bangalore,Large,4,27,42,JSZ239,103999.2005
3307,Masters,,Data Scientist,Healthcare,London,Small,2,51,52,BRL336,100029.5485
3308,PhD,16,Software Engineer,Finance,London,Medium,1,32,57,UYX031,99078.08533
3309,Masters,15,Manager,Education,Bangalore,Medium,3,59,57,GMI003,92346.71149
3310,PhD,0,Data Scientist,IT,San Francisco,,,33,51,,103923.4535
3311,PhD,19,Manager,,San Francisco,Small,3,41,53,FIR019,140360.3538
3312,Masters,12,Data Scientist,Education,San Francisco,Large,1,,37,AVJ552,104751.7428
3313,Bachelors,14,Software Engineer,Education,New York,Medium,3,55,52,FFQ317,85198.10119
3314,Bachelors,,Manager,IT,San Francisco,Large,,58,51,RBD524,102327.1824
3315,Masters,10,Analyst,Finance,New York,Small,0,54,51,PUO813,78222.40079
3316,Bachelors,,Analyst,Education,New York,Medium,1,31,38,NMA776,71088.13135
3317,High School,16,Manager,Finance,New York,Small,1,50,38,LFI440,87041.40676
3318,High School,14,Software Engineer,IT,London,Small,4,30,45,DTD642,83171.80773
3319,Masters,15,Data Scientist,IT,Bangalore,Large,4,52,51,CCH308,108330.7172
3320,Masters,3,Manager,IT,London,Medium,0,46,46,JAW977,81958.73533
3321,PhD,0,Manager,Finance,San Francisco,Large,1,50,31,UUX701,90513.87928
3322,Masters,14,Analyst,Finance,Bangalore,Small,4,,,DTO052,78775.16778
3323,High School,3,Analyst,Education,San Francisco,Small,1,35,42,KEE997,78534.22513
3324,Masters,5,Manager,IT,New York,Large,3,31,41,LQA112,75187.84585
3325,,,Analyst,Healthcare,London,Medium,0,51,53,PNE758,92024.12776
3326,Masters,15,Analyst,Education,San Francisco,Medium,3,36,41,KWA525,107957.0701
3327,Bachelors,14,Software Engineer,Healthcare,London,Large,1,27,,LYK638,89524.6651
3328,Masters,9,Analyst,Healthcare,London,Large,0,,53,JPZ442,79258.61058
3329,High School,3,Analyst,IT,New York,Large,2,53,40,PWM105,60277.39689
3330,Masters,14,Software Engineer,Education,London,Large,1,40,59,SRJ360,
3331,Masters,,Manager,Finance,Bangalore,Small,2,57,51,ARY159,75050.47479
3332,High School,0,Software Engineer,Finance,New York,,4,,58,,45359.96509
3333,Bachelors,17,Software Engineer,IT,Bangalore,Medium,4,51,54,DXY892,85327.09136
3334,Bachelors,9,Manager,Education,Bangalore,Medium,,22,37,NUQ068,70707.41125
3335,PhD,4,,Healthcare,Bangalore,Small,4,58,47,MUH590,
3336,High School,11,Data Scientist,IT,London,Small,0,22,48,KPW716,86807.50801
3337,Bachelors,1,Data Scientist,Finance,London,Medium,4,27,50,PVQ071,87620.67976
3338,,14,Software Engineer,Education,Bangalore,Large,3,59,38,ELR290,68993.95052
3339,High School,18,Software Engineer,Finance,San Francisco,Medium,4,36,50,SQY431,94895.86781
3340,High School,3,Data Scientist,Healthcare,New York,Small,3,29,42,KWO456,71938.87248
3341,High School,4,Analyst,Education,New York,Medium,3,47,42,MUQ372,62578.22676
3342,Bachelors,10,Analyst,Education,London,Medium,4,41,37,EJE860,82136.64791
3343,PhD,3,Data Scientist,IT,New York,Large,1,49,35,UXH533,76661.71046
3344,High School,8,Data Scientist,Finance,San Francisco,Medium,4,49,44,QQL023,97794.32042
3345,Bachelors,8,Data Scientist,Healthcare,Bangalore,Small,2,50,36,CAT722,87846.98176
3346,,12,,IT,San Francisco,Large,3,,36,CGM389,93651.67062
3347,Bachelors,1,Analyst,Finance,London,Small,4,,56,CTJ549,
3348,Masters,17,Analyst,Education,London,Large,1,55,32,ZVB903,91149.73383
3349,PhD,7,Data Scientist,Healthcare,London,Large,3,,30,NXA738,96912.14616
